text,exec_time,12.1,12.2,12.3,12.4,12.5,12.6,12.7,12.8,12.a,12.b,12.c,15.1,15.2,15.3,15.4,15.5,15.6,15.7,15.8,15.9,15.a,15.b,15.c,16.1,16.2,16.3,16.4,16.5,16.6,16.7,16.8,16.9,16.10,16.a
"d Timely and appropriate action will be undertakne to investigate fraud and corruption allegations and indications report to the World Bank on the actions taken in any such investigation every six months and promptly update upon the completion of any such investigation by reporting its findings to the World Bank",10.99,1.29,5.49,14.71,0.61,7.53,12.41,45.12,4.58,7.22,0.98,2.56,2.05,2.14,4.13,5.95,12.91,4.77,2.03,2.36,8.78,2.91,3.55,1.29,1.42,2.11,23.23,76.82,73.76,75.19,53.28,50.70,20.91,44.10,5.95
"The program is not being implemented in areas of recognized fragility or in post conflict zones",6.75,40.45,69.06,32.35,21.37,22.74,27.78,53.07,47.16,43.66,50.26,4.57,50.96,49.47,43.63,49.59,63.30,37.06,34.44,29.00,50.51,22.41,40.99,36.89,1.91,40.24,20.88,32.30,28.67,27.46,10.16,41.62,1.45,40.23,19.27
"80 There arefour mainfuture challengesfor government authorities in the competition enforcement These are rationalizing competition law enforcement establishing a stable corps of sufficiently remunerated qualified professionals a new law to improve governance and efficiency in competition law enforcement and amending the constitution to provide for revision",10.86,8.91,3.37,1.60,0.23,0.81,1.43,4.21,0.75,0.56,0.84,0.06,2.46,0.33,1.22,1.21,0.96,0.54,3.39,0.89,1.42,0.49,0.66,4.55,0.22,0.39,2.54,24.03,14.12,6.97,9.69,9.07,10.97,0.92,5.55
"In addition residents of the state including stakeholders of the program can register their grievances through various means in writing a through letters email or text messages and also over telephone through a dedicated toll free number with the Program Implementation and Grievance Cell set up under the Office of the Chief Minister GoWB and seek to resolve their grievances within 7 days",12.81,33.89,61.62,35.47,25.05,44.37,11.54,37.69,36.45,33.39,51.48,17.40,81.12,75.12,60.41,58.35,67.06,39.07,65.82,45.13,49.56,32.46,53.75,46.79,20.72,37.50,53.89,33.47,40.45,48.32,47.54,55.67,12.34,65.64,30.95
"The C M C has mediated 32000 disputes within and between communities interethnic disputes governmentprivate citizen disputes commercial disputes family disputes individual disputes land disputes landlord and tenant disputes and institutional disputes N o formal process would have been able to achieve such a high degree o f success The protocols are less stringent the process more fluid allowing for selfrepresentation use of native dialects and most importantly the outcome i s usually a winwin one based on mutuality and consensus",15.81,8.23,22.42,1.30,0.24,17.95,13.34,15.70,11.36,8.38,5.01,0.92,10.53,2.96,9.07,31.22,30.52,10.14,4.05,7.36,12.63,4.32,10.04,10.18,10.82,4.83,14.31,11.47,22.70,33.83,77.47,23.77,3.40,8.92,6.49
"Antitwst enforcement Since 2001 important progresshas been achieved inthe enforcement of the competition law inBrazil An important improvement hasbeen the increasing between gasoline stations inFlorian6polis SC and Goidnia GO InSeptember 2002 260 cartel investigations in 30 differentindustries hadbeen started by SDE Several institutional measureshave beentaken includingthe launching of a Leniency Program and the signingof an agreement with Policia Federal both aimed at improving investigative techniques",15.85,4.70,0.57,1.31,0.37,6.45,7.88,13.28,8.48,4.14,0.85,3.10,1.27,1.40,3.66,0.77,1.70,2.10,0.59,1.50,2.80,1.01,1.10,0.41,0.28,0.50,6.98,63.05,66.45,79.96,53.36,24.85,26.30,4.93,58.32
"The Project is not expected to have negative social impacts on indigenous peoples or other stakeholders The Project alleviates risks of water shortages and social disruptions No involuntary land taking or resettlement is expected as the Project will be implemented on governmentowned land In order to ensure the inclusion of indigenous peoples the IPPF provides guidance for preparing IPPs where necessary CONAGUA has proven knowledge and experience in applying the activated World Bank environmental and social safeguards through several Bankfinanced projects",15.05,73.86,86.91,4.33,4.75,4.65,35.01,41.15,21.11,15.76,14.31,0.68,72.34,21.53,50.89,46.45,62.46,19.83,23.54,29.12,60.42,16.17,41.93,15.41,0.95,11.81,52.50,5.28,7.60,45.00,58.76,79.35,9.93,19.88,20.27
"The objective will be to facilitate the full ownership o f work programs and investments by the b Coordination of Public Governance and Capacity Building activities To ensure proper coordination o f public governance reforms targeted by the Project the M E P B will have the overall responsibility o f executing the Governance component and chair a Governance Technical Coordination Committee GTCC where all agencies involved in the implementation o f the component will be represented",14.63,27.11,21.39,10.51,0.81,6.22,1.53,1.15,9.20,11.43,1.88,5.20,6.60,5.71,17.34,1.34,18.67,4.77,7.49,7.33,2.87,1.40,2.59,6.87,4.09,3.24,13.64,9.61,27.03,14.86,96.45,46.99,13.61,22.30,2.11
"Urban services and housing for the poor 33 P Other accountabilityanticorruption 33 P Municipal governance and institution building 17 S Public expenditure financial management and procurement 17 S",8.57,6.44,0.36,0.96,0.09,17.10,40.59,65.49,6.17,0.88,0.08,0.15,0.20,0.37,0.93,0.12,1.71,3.88,0.36,0.48,0.67,0.19,0.23,0.11,0.52,0.30,0.93,86.22,95.15,95.01,79.70,20.35,15.23,0.30,2.57
"LASG committed to follow the principles o f the RPF for LMDGP for any infrastructure upgrading in the metropolitan area ESIA and RPF Framework have been preparedby LASG A Conflict resolution mechanism i s established Communities have been sensitized and mobilized to participate A strong communications component i s an integral element o f the Project",13.11,15.05,46.33,4.82,1.26,12.13,20.04,52.89,78.26,16.34,0.89,3.49,21.24,62.03,54.96,3.03,27.88,7.34,11.68,21.63,16.71,2.72,14.14,1.76,2.97,3.16,18.75,14.01,16.49,36.03,92.79,17.80,29.27,46.52,10.35
"offered and people mediation strengthened to ensure that disputes and conflicts are handled at the village level where possible",7.26,5.45,17.38,11.70,0.41,9.06,1.05,2.72,1.63,0.50,6.87,0.87,3.47,3.52,6.20,1.60,32.09,3.83,7.70,7.47,3.94,0.75,1.09,5.16,18.31,3.47,7.95,6.91,26.46,17.33,18.72,29.15,5.13,0.83,1.90
"Reported cases at clinics Number of documented conflicts and nature and seriousness of conflicts",6.49,1.31,3.88,3.11,0.38,7.79,32.73,20.42,23.54,13.08,0.56,3.04,0.58,4.21,2.04,30.63,31.72,9.42,13.13,20.91,24.36,10.11,6.93,38.36,0.69,34.03,9.72,18.82,13.73,22.71,29.67,17.73,8.77,46.27,8.18
"52 A third component of regulatory risk is regulatorygovernance InBrazil infrastructure regulatory laws are imprecise about accountability and transparency Beyond formal independence it i s essential that regulatory agencies explain the rationale for their decisions Even the wellviewed ANEEL has receivedcriticism inthis regard Furthermorejudicial review of regulatory decisions takes place at the first level of the judiciary which lacks relevant",13.17,27.37,8.70,12.08,1.73,16.34,23.82,27.89,11.87,19.52,2.07,12.53,4.56,9.90,14.41,17.59,32.59,16.87,22.82,28.17,15.44,9.09,13.13,19.94,2.60,7.57,20.99,23.89,18.20,64.41,10.07,47.58,19.61,64.00,41.58
"Establishesflexible and modernjudicial and extrajudicial restructuring proceedings to replace the ineffective concordata",7.03,5.39,8.71,5.89,0.61,33.45,1.16,13.45,1.81,1.96,0.70,2.04,2.09,9.01,7.69,7.06,42.48,4.42,9.78,24.95,1.92,0.51,1.54,10.91,4.33,13.71,19.04,30.23,23.92,31.02,28.30,18.56,31.25,6.14,5.19
"protect the peopleas rights of information participation expression and supervision practically Public participation during land",6.50,41.61,45.76,1.30,2.32,4.93,1.12,4.63,36.19,2.29,4.81,0.88,52.69,35.36,6.89,7.45,37.77,10.75,3.18,4.26,8.08,1.90,9.39,8.97,2.19,0.80,4.48,1.94,9.09,28.95,16.19,23.18,26.49,89.30,26.85
"The future submission and approval of this amendment by Congress i s a key future challenge combined with the strengthening of the cadre of antitrust regulator within the Government Measures of progress are the number of hard core cartel prosecutions and the adoption of premerger notification to",10.85,2.51,0.51,1.28,0.22,2.06,1.71,4.91,1.01,0.49,0.24,0.52,0.91,1.06,3.89,0.93,1.33,1.23,0.77,1.13,1.93,1.23,1.73,0.68,0.39,0.28,4.08,54.39,23.78,29.19,23.39,1.65,22.21,0.97,85.40
"policies and improving the work of the peoples government at the same level and 6 Giving instructions to the handling of complaint",7.69,2.81,0.76,1.16,0.43,2.45,0.30,3.83,0.83,0.49,0.30,0.23,1.22,3.00,4.10,0.70,5.58,0.63,6.44,2.64,1.16,0.42,1.23,2.44,1.03,1.80,7.99,5.12,19.81,39.73,60.89,14.10,7.80,1.46,5.06
"Public access to information on contracts and schedules will change prior practices and the community spirit mobilization and watchfbl monitoring by CDAs and CTCs will mark a new openness to popular consultation for infrastructure operations inNigeria Accountability refers to the ability to call state officials public employees or private actors making them accountable for their policies actions and use o f finds States Local Governments and Communities must have horizontal or internal accountability mechanisms and must also be accountable to their citizens and clients for their performance",16.05,5.67,52.42,2.74,3.45,8.29,1.78,58.39,27.38,5.37,2.32,0.27,4.84,3.40,20.22,5.90,13.96,3.14,4.08,10.66,6.51,2.61,3.52,8.27,2.21,1.88,5.84,10.30,19.47,80.70,85.05,41.13,13.78,54.95,10.19
"The manner of operationalization of the AntiCorruption Guidelines under the Program has been agreed with the Finance Department Key commitments under the Program in this area and how these commitments would be implemented are as follows a All appropriate measures will be undertaken to ensure that the Program is carried out in accordance with the PforR AntiCorruption Guidelines",12.73,25.24,24.58,20.25,3.55,15.68,18.63,49.09,16.99,26.44,36.80,12.36,59.90,27.00,44.35,19.47,35.60,21.63,46.51,23.83,27.50,19.18,31.08,39.36,6.26,17.96,32.42,56.65,73.73,38.42,73.74,55.37,34.87,35.67,37.21
"The Law of the Peoples Republic of China on Regional National Autonomy stipulates in dealing with special issues concerning the various nationalities within its area the organ of selfgovernment of a national autonomous area must conduct full consultation with their representatives and respect their opinions the organ of selfgovernment of a national autonomous area shall guarantee that citizens of the various nationalities in the area enjoy the rights of citizens prescribed in the Constitution and shall educate them in the need to perform their duties as citizens",15.73,24.70,12.03,7.81,1.73,6.63,22.21,11.41,52.53,10.90,6.92,4.11,3.30,4.03,7.54,4.43,10.81,7.27,12.13,6.51,5.77,4.78,7.54,13.64,3.48,10.77,64.97,7.61,8.80,33.59,84.22,23.16,19.74,9.13,49.11
"With thirty six trained and certified mediators located in six offices in Lagos the C M C has built public trust with its free services and impartial management o f disputes I t s greatest attractions for the public are its impartiality and speed o f resolution even in disputes involving individuals and the government",11.81,23.27,20.31,8.39,1.72,10.89,45.62,28.94,11.48,16.34,9.90,1.87,35.07,11.33,13.96,8.88,24.84,5.93,12.11,15.41,19.17,11.87,14.03,9.90,4.08,6.00,45.30,8.68,29.02,81.79,16.31,38.12,10.86,8.54,6.07
"1 Article 41 of the Constitution of It directs the State to provide public assistance to its citizens in the case of",7.51,15.89,1.83,4.36,0.45,5.90,2.59,3.51,3.58,4.43,2.41,3.49,2.01,3.21,25.00,1.07,16.58,5.48,25.71,9.28,4.55,0.46,2.73,20.95,2.60,9.99,15.43,16.75,13.90,15.29,25.54,13.29,31.76,5.63,3.73
"3 civil affairs authorities It should be changed to",6.14,19.15,42.49,17.83,4.35,26.50,12.92,25.44,18.08,16.96,1.81,20.64,42.19,30.46,41.34,32.31,60.59,11.14,33.21,37.91,36.41,11.23,30.82,35.28,4.13,17.53,12.99,13.41,29.06,17.57,13.20,39.37,5.87,16.58,18.67
"This makes it difficult to reverse the culture o f nonpayment for government services that has become entrenched in Lagos and Nigeria following years o f failed promises during the military years and the breakdown in basic systems for taxation and user charges due to corruption and patronage Institutions have become weak and the technical and management skills in the public sector have",12.24,11.32,6.02,16.96,1.11,4.54,32.72,7.24,6.49,6.10,0.78,0.60,20.29,4.74,22.96,14.65,15.83,1.93,13.18,9.08,26.35,4.67,7.46,4.79,0.99,4.54,4.36,14.78,19.01,10.65,9.00,47.46,6.46,30.06,10.22
"In addition to reestablishing peace the accord recognized the ethnic peopleas right to land culture language and religion The accord sets out detailed provisions for strengthening the system of selfgovernance in the CHT and redressing the most urgent landrelated problems A Ministry of CHT Affairs was established by appointing a minister from among the tribal people of CHTs Advisory council from the CHT region assists this ministry It may be noted that tribal peopleindigenous people living in the plains are less than 1 percent of the mainstream population",17.74,21.29,28.49,3.82,0.81,4.11,7.72,4.66,34.90,1.92,1.16,0.42,49.43,9.53,90.12,3.85,18.43,8.90,12.16,2.46,7.00,1.86,11.61,2.81,29.18,3.05,4.33,1.99,3.87,69.81,88.36,70.33,10.36,10.31,25.19
"The partnership between DFID and IDA and other donors i s crafted to ensure coherence in the efforts to support LASGs priorities iGovernance reforms DFID will strengthen LASGs Board o f Internal Revenue BIR to ensure that the gains made so far on the revenue side are not reversed LMDGP support i s focused on the budgeting and expenditure side iiInformation Technology for Citizen Access The Directorate for Citizens Rights CRD under the Ministry o f Justice offers free access for human rights and consumer protection access to public defenders and free citizens mediation see Annex 17",19.49,18.10,4.16,4.70,0.31,3.72,1.36,13.07,53.52,4.18,0.33,0.46,9.37,7.78,20.23,0.74,4.84,2.30,5.59,8.44,4.92,1.54,3.93,3.96,2.22,2.79,63.97,30.84,24.15,77.09,57.33,73.84,30.14,96.33,16.97
"78 Since2001 importantprogress has been achieved in the enforcement of competition law in Brazil There has been increasing emphasis on cartel investigations In2002 CADE condemned two collusion between gasoline stations inFlorian6polis SC and Goiinia GO In September 2002 260 cartel investigations in30 different industries had been started by SDE Several institutional measures have been taken including the launching of a Leniency Program and the signing of an agreement with FederalPolice both aiming to improve investigative techniques",15.91,5.15,0.64,2.42,0.58,11.54,10.31,11.43,11.21,5.03,1.10,6.05,2.24,1.86,4.48,3.56,2.47,3.50,1.40,2.68,7.60,2.84,2.58,1.24,0.57,1.09,14.03,65.05,77.03,79.15,56.67,37.85,29.86,13.00,54.19
"screening mitigation measures implementation information disclosure public participation and grievance redress mechanism GRM Disclose to the public with the hotlines and contacts of GRM and establish an effective external communication mechanism In order to implement the above recommendations the following actions should be included in the Program Action Plan PAP",11.98,53.31,64.78,31.70,6.65,31.03,17.43,55.45,41.57,20.38,11.11,14.27,76.18,68.89,81.23,56.00,83.11,22.23,75.03,68.43,32.65,5.78,36.27,52.90,9.16,46.45,22.58,60.15,53.64,84.67,33.94,59.07,11.31,94.13,19.69
"Communication campaign and the policy dialogue The communication campaign and the policy dialogue on a variety of development issues had partial success The systematic monitoring of the project was weak and only 8 out of 30 Citizenas Mediation Centers CMCs were built However these 8 mediation centers are completely operational and have brought a new and pragmatic way to address legal issues in Nigeria These centers have supported equitable justice by providing a rancor free inexpensive dispute resolution option Services offered by CMCs include landlordtenant employeremployee employee compensation family and marital cases",18.04,5.36,11.69,1.20,0.32,15.71,15.21,11.20,89.69,12.81,0.22,0.99,4.99,5.85,11.04,2.83,2.63,2.36,2.12,2.00,5.24,2.06,1.87,2.04,5.89,2.93,92.31,14.12,30.32,59.69,38.70,78.26,31.99,58.34,10.98
"The World Bankas right to conduct an inquiry into such allegations or other indications independently or in collaboration with the borrower regarding activities and expenditures supported by the Program as well as its right to access to the required persons information and documents will be observed in accordance with the standard arrangements for this purpose between the Government and the World Bank The Programas Legal Agreement will also oblige the client to fully comply with obligations under the World Bankas AntiCorruption Guidelines for PforR operations",15.56,41.07,44.05,21.48,3.07,21.94,36.07,62.35,30.27,30.93,34.28,8.95,66.13,57.13,71.53,43.20,47.69,38.16,59.09,33.91,30.54,47.77,76.96,44.85,6.92,34.50,73.74,72.80,69.95,47.03,57.57,75.82,46.34,91.52,41.58
"Policy basis for ethnic minority development The Law of the Peoples Republic of China on Regional National Autonomy stipulates when developing resources or carrying out construction in a national autonomy area the state shall protect its interests make arrangements favorable to its economic development and local minority residentsa production and livelihoods and include major ecological balance and environmental protection projects in the local national economic and social development plan",12.75,46.20,97.68,1.89,34.71,28.22,3.86,20.79,37.28,27.30,0.16,0.53,90.32,71.29,45.62,53.85,95.60,10.53,48.32,22.06,99.54,60.06,48.92,29.11,1.02,2.56,1.27,1.27,3.28,6.97,30.04,4.63,31.73,1.14,66.73
"It is reported that overall compliance status of Environmental Management Plan EMP and implementation of Resettlement Action Plan RAP at various subproject sites is satisfactory Stakeholder engagement and grievance management are also satisfactorily complied with through Focus Group Discussion FGD personal contact and Samity Board in every PBS where local people are represented through election to address the needs and complaints of the affected people including indigenous people and tribal people",13.47,24.76,83.97,6.25,29.14,25.07,37.00,16.86,32.53,14.52,3.06,0.73,87.56,67.87,76.71,55.65,81.20,8.39,24.34,36.59,66.76,6.98,19.56,16.30,2.41,1.82,40.61,7.32,12.28,57.94,96.31,56.16,7.69,24.95,4.68
"23 Further measures wouldfoster multimodal transport i appropriate regulations and conflict resolution mechanisms for multimodal operations and ii the strengthening of transport planning and the promotion of publicprivate partnerships PPP to develop critical investments",9.93,23.39,33.98,1.19,0.56,2.36,1.23,48.23,4.24,0.63,0.85,0.17,0.78,0.28,0.69,1.03,1.92,0.84,0.44,0.80,6.56,0.22,1.11,0.89,0.36,0.16,1.51,0.28,0.72,2.06,34.95,37.87,5.69,0.59,2.22
"Fraud and corruption risks The Government has institutions in place to combat fraud and corruption These institutions are designed to prevent report detect investigate prosecute and sanction fraud and corruption These institutions include the discipline inspection commissions within all implementation agencies supervision bureaus anticorruption bureaus under Peopleas Procuratorates and audit offices all at central provincial prefectural and county levels These agencies have comprehensive mandates to combat fraud and corruption Any bidder or any party can report fraud and corruption issues to any of these government agencies",16.23,11.55,6.06,5.82,0.81,40.61,16.01,64.71,29.75,9.22,4.95,5.03,4.55,33.73,4.83,7.97,12.49,10.26,5.05,5.20,11.07,5.22,7.21,1.55,3.81,6.50,35.69,83.34,92.46,90.41,74.50,48.52,29.49,22.22,6.60
"Activities o f the Directorate o f Citizens Rights in Lagos particularly the CMC have become o f great interest to Attorney Generals o f other States in Nigeria who agreed at their 58th professional body meetingin October 2003 to establish similar Directorates intheir States",10.68,4.82,6.03,3.32,1.54,3.18,1.97,11.66,28.11,10.16,0.28,0.26,2.60,6.17,6.96,0.57,13.32,4.12,7.32,4.71,19.50,5.00,2.86,2.89,4.73,11.15,55.43,14.24,26.03,37.99,53.41,38.75,17.31,59.95,35.12
"Law reformmay also improve governanceand efficiency Decisions over merger cases have raised concerns domestically and internationally of CADEs independence Disputes over large and controversial cases are not uncommon but the risk of politicization may be reducedby changing the appointment mechanism for the commissioners for example limiting commissioners appointments to a longer but single term Law reform might also provide for a better distribution of legal authority coupled with better accountability mechanisms to enhance authorities incentives to successfully prosecute anticompetitive behavior Revision of CADEs decisions by firstlevel courts may alsojeopardize the effectiveness of competition enforcement",17.49,22.26,14.79,2.34,0.98,14.25,12.26,24.93,13.68,4.21,4.11,4.22,25.43,5.38,23.01,12.56,7.59,5.07,37.54,15.34,9.35,6.70,9.35,31.49,2.17,11.40,39.87,47.55,50.58,78.52,10.16,50.35,40.89,19.85,64.58
"Procurement for the proposed TA component of the project will be carried out in accordance with Procurement Regulations for IPF Borrowers for Goods Works NonConsulting and Consulting Services dated July 1 2016 Revised Nov 2017 and Aug 2018 hereinafter referred to as aRegulationsa and the provisions stipulated in the Legal Agreement The TA will be subject to the World Bankas AntiCorruption Guidelines dated October 15 2006 as revised in 2011 and 2016 Procurement risk assessment and mitigation",15.87,74.17,41.86,34.73,5.87,34.27,47.85,71.46,35.24,44.91,41.55,21.23,62.14,56.12,66.65,53.56,52.03,38.79,42.89,35.72,52.64,47.89,67.67,36.87,7.18,24.02,35.65,50.93,72.06,51.22,47.71,58.14,64.47,31.84,69.95
"196 The Government is preparing the groundfor judicial reforms to try to reduce inefficiencies in contract enforcement comingfrom court delays and uncertainty over the basis of legal decisions Despite exploratory analytical worko9 this i s an area where the Bank has not maintained an intense dialogue with the Brazilian Government to date This loan does not directly support reforms inthis area despite the fact that this area could be a crucial reform for increasing economic growth in the next few years",14.90,21.94,1.29,1.79,0.40,0.72,7.07,30.31,7.82,3.25,0.47,0.24,2.36,0.69,2.00,1.57,1.76,0.93,1.64,1.31,3.58,0.96,2.50,0.55,0.39,0.42,14.32,3.10,8.12,30.08,26.51,38.60,40.27,2.33,12.77
"Implementation o f LMDGP will pose significant social challenges particularly with respect to managing the conflicts that are likely to arise due to the communities institutions businesses and individual members o f the public who might be affected by the Project despite the Project being predicated on the fundamental principle o f eliminating or at least minimizing involuntary resettlement or dislocation",12.01,48.17,45.22,22.88,5.30,10.78,31.76,29.92,5.43,36.38,1.47,2.07,79.21,29.33,74.47,66.86,58.86,42.54,36.65,17.16,52.28,26.92,43.09,16.65,3.61,9.74,8.47,25.39,8.78,25.04,4.98,46.70,1.93,5.85,26.27
"The Fiduciary System Assessment FSA followed the World Bankas Policy for PforR and the related Directive and concluded that Program fiduciary systems for Procurement financial Management and Governance and AntiCorruption provide reasonable assurance that the financing proceeds would be used for intended purposes with due attention to the principles of economy efficiency effectiveness transparency and accountability The Program implementing agencies have a strong budget execution and implementation track record and adequate auditing arrangements are in place",14.74,57.61,18.23,12.59,0.58,36.98,31.40,87.30,18.73,22.07,10.66,6.55,34.40,21.14,36.17,23.05,28.57,14.26,19.55,18.64,14.94,16.25,39.41,22.48,3.05,7.63,23.61,77.36,78.55,79.45,75.07,59.05,23.91,18.42,29.13
"Proposed fiduciary implementation support includes the following a Review Program implementation progress including achievement of Program results and PAP implementation a Assess timeliness and adequacy of Program fund appropriation as approved in the budget a Continuously assess and monitor the performance of the FM and procurement systems under the Program and provide suggestions for enhanced efficiency and effectiveness a Monitor application of the PforR anticorruption guidelines a Monitor performance of the fiduciary systems and the audit report including the implementation of the PAP a Monitor the PforR financial statement reporting process and assist the client as necessary",17.99,13.30,3.39,2.30,0.21,13.79,6.31,65.73,2.74,1.95,1.15,1.24,8.48,1.93,4.41,3.12,1.77,6.74,10.51,2.66,2.21,7.46,9.98,6.28,0.84,1.92,6.07,86.19,86.52,55.07,64.71,9.29,12.57,3.92,7.35
"designed to primarily address the Information Education and Communications IEC needs o f L A S G during preparation and implementation phases o f the Project On a secondary level the strategy also aims to address the internal needs o f LASG as it progresses its institutionalization o f good governance and accountability in urban management Annex 8 iii Conflict Resolution USU This component will support the timely preparation and execution of resettlement and rehabilitation action plans and mitigation incompliance with the Resettlement Policy Framework RPF",15.27,3.37,29.24,2.49,1.42,2.12,1.53,1.87,74.11,1.49,0.68,0.50,4.13,3.34,66.76,0.88,28.98,2.69,4.95,8.28,4.25,1.24,1.42,2.18,13.48,3.68,14.78,9.46,20.77,90.52,72.03,53.49,8.60,38.11,11.59
"To ensure that procurement related complaints are treated in a timely and fair manner the State Finance department nodal agency will setup a dedicated complaint handling system allowing complaints to be posted by interested parties Also specific arrangements are defined in action items to ensure compliance with anticorruption guidelines of the World Bank For the IPF Component of the Operation the procurement arrangement will be governed by the World Bank Procurement Regulations for Borrowers effective from July 1 2016 amended in July 2017 and Aug 2018",15.24,53.62,14.94,18.34,1.51,27.89,24.56,76.22,18.31,33.43,4.18,13.65,21.03,13.52,40.07,8.16,22.61,8.13,39.36,18.04,16.47,19.79,37.90,15.82,5.43,5.65,79.99,71.83,68.81,68.78,47.74,69.27,23.45,49.36,60.08
"The efficient management o f such potential conflict i s paramount to the success o f the Project and ultimately to resolving the long term flooding problems that plague the citizens o f Lagos Strong information management and dissemination on a continuous and inclusive basis and Alternative Dispute Resolution ADR structures would substantially reduce most o f the tensions anxieties and resistance usually associated with a Project on this scale",13.74,17.76,11.93,5.39,0.55,3.18,29.75,22.11,78.29,4.05,2.14,0.56,2.76,1.19,37.95,2.05,3.72,3.21,3.57,2.02,9.31,2.90,1.26,1.22,2.07,1.95,38.04,2.84,2.44,40.17,82.73,44.41,6.32,86.46,8.66
"67 Legal reform could also improvegovernance and efficiency Decisions on mergers have raisedconcerns over the independence of CADE Disputes over large and controversial cases are not uncommon but the risk of their being politicized could be reduced by an increase inthe term appointment of commissioners Legal attributions might also be better allocated coupled with mechanisms for greater accountability Revision of CADE decisions by firstlevel courts may also jeopardize its effectiveness Premerger notification would reduce conflicts while revised merger thresholds might reduce the number of mergers to be reviewed by the authorities",17.96,16.76,8.70,1.74,0.75,13.94,8.52,18.64,7.85,3.92,2.93,2.18,39.06,7.06,24.55,16.22,8.34,4.74,23.18,14.86,12.44,3.25,8.50,24.40,0.79,9.12,43.70,30.86,39.14,83.49,11.58,48.67,19.82,19.60,44.03
"Implementation of the Program will be aligned with the ACGs applicable to PforR operations that is aGuidelines on Preventing and Combating Fraud and Corruption in Program forResults Financinga dated February 1 2012 and revised on July 10 2015 The following mitigation measures as per Bankas Fraud and Corruption Guidelines will apply The Office of the Comptroller Auditor General CAG of India which is the Supreme Audit Institution has the constitutional mandate under Article 1512 of the constitution to audit all public funds and entities External Risks to project outcomes",16.22,28.47,19.84,16.74,1.06,20.66,45.28,46.64,26.13,24.45,26.70,7.46,51.85,19.47,31.23,15.46,19.97,11.41,27.47,11.15,14.27,33.73,63.91,18.14,4.17,9.19,44.67,80.17,64.32,52.31,66.59,71.16,79.05,29.66,51.97
"The Implementing Entity will prepare and adopt an Operation Manual that contains guidance and projections to support the implementation of the Operation including the Program Action Plan the Anticorruption Guidelines Protocol and the Verification Protocol as well as guidance for the compliance with fiduciary environmental social and other obligations for the implementation of the Project The implementing agencies in the Program will be four Government departmentsagencies given in the table below along with the nature of Program Expenditure",14.12,45.34,68.43,34.39,21.04,28.49,16.63,56.58,41.58,49.20,40.99,23.25,69.65,61.84,67.53,56.07,67.19,36.86,69.28,46.72,58.23,45.59,62.04,55.75,11.27,38.30,42.96,66.33,68.45,41.73,68.58,55.00,22.51,51.20,34.87
"In addition residents of the state including stakeholders of the program can register their grievances through various means in writing a through letters email or text messages and also over telephone through a dedicated tollfree number with the Program Implementation and Grievance Cell set up under the Office of the Chief Minister GoWB and seek to resolve their grievances within 7 days",11.79,34.71,62.00,35.50,24.91,44.73,11.58,37.65,36.91,33.89,51.82,17.93,81.02,75.31,60.50,58.40,67.30,39.28,65.73,45.23,49.28,32.80,53.74,47.07,20.96,37.76,54.65,33.48,40.35,48.72,48.42,56.13,12.97,65.91,31.18
