text,target1,target2,exec_time,12.1,12.2,12.3,12.4,12.5,12.6,12.7,12.8,12.a,12.b,12.c,15.1,15.2,15.3,15.4,15.5,15.6,15.7,15.8,15.9,15.a,15.b,15.c,16.1,16.2,16.3,16.4,16.5,16.6,16.7,16.8,16.9,16.10,16.a
"As mentioned earlier the respondents were selected from both forest and nonforest areas This geographical character of the villages was the major differentiator of the sources of livelihood of the families as well as of these women Among the 9 women interviewed 6 lived in forest areas and the other 3 in nonforest areas Though majority of women reported to have land owned by households the size of the land is often very small and of very low quality in terms of agriculture",0,0,26.74,55.34,95.66,30.17,13.36,54.51,53.28,53.53,68.99,46.63,11.47,12.76,73.95,20.71,30.81,40.20,44.26,34.94,24.48,25.69,50.45,43.78,38.68,27.31,14.57,21.54,36.07,17.19,17.43,33.49,44.30,62.57,17.08,69.17,18.26
"6 domestic waste incineration 5 Rural habitat improvement project the provinces rural living waste rural",0,0,11.07,77.70,99.29,0.28,49.25,5.62,34.08,2.67,17.37,5.10,0.23,9.09,90.17,94.18,81.86,94.08,94.52,39.57,11.15,18.76,88.43,15.39,82.78,7.84,0.14,0.07,0.24,0.10,0.23,2.12,3.17,11.64,17.24,1.29,0.82
"i Pollutant discharge permit system All enterprises shall apply for a pollutant discharge permit which specifies the type limit and effective period of pollutant discharge and local environmental protection authorities shall be responsible for permit review and approval i Ecological protection red line system The State shall draw a red line for strict ecological protection in the key ecological function areas ecological sensitive areas and vulnerable areas i Ecological compensation system The State shall strengthen the efforts in the financial transfer payment for ecological protection areas",15.1,0,25.43,73.78,97.67,6.62,88.85,31.99,31.33,16.84,16.68,8.46,1.06,5.08,82.80,13.36,16.64,44.18,92.39,16.67,5.66,5.06,92.00,54.64,43.87,16.61,1.36,2.45,3.16,15.36,15.71,61.56,6.93,48.37,51.80,11.07,6.72
"significant conversion of natural should be avoided and reduction mitigation or compensation",15.3,0,19.20,60.59,99.15,16.06,69.78,78.46,46.64,42.37,50.82,36.88,17.00,12.23,91.46,90.24,71.27,75.57,93.72,32.01,5.50,24.95,80.08,45.42,41.29,15.52,1.40,4.71,7.26,3.08,1.16,22.16,9.84,27.37,6.35,3.22,22.31
"4Note Core Principle 2 Impacts on Natural Habitats and Physical Cultural Resources CorePrinciple 4 a Management of Land acquisition loss of access to natural resources and involuntary resettlement and Core Principle 6 a Avoidance of Social Conflict do not apply to the program",15.5,0,61.93,47.83,87.08,16.85,0.18,2.11,30.46,16.96,16.57,10.93,0.59,4.29,6.96,0.63,11.63,26.94,53.38,0.84,15.46,5.78,37.67,2.54,13.11,16.16,2.87,6.28,0.94,11.99,7.26,20.98,0.16,46.26,1.24,2.31,5.69
"ii Identifying and addressing economic and social impacts arising from land acquisition or loss of access to natural resources Land Administration Law effective from January 1 2020 stipulates aOwners or users of the land to be acquired shall within the time limit specified in the announcement go to fill the compensation registration form holding its assets ownership certificate The peopleas government at or above the county level shall organize the department concerned to estimate the relevant costs and make them fully available",15.6,0,29.23,35.32,97.54,2.57,0.43,1.22,11.34,26.31,16.15,5.66,0.77,1.84,39.50,5.67,9.82,28.57,45.82,8.11,1.39,0.76,37.27,16.82,14.49,2.01,0.39,1.43,5.60,3.82,8.06,48.55,73.50,21.79,42.03,6.12,1.70
"existing in the project area adequacy and costs of transportation and current projected labor supply and wage levels Biological Environment A field sampling program was designed and all pertinent biological features were inventoried An inventory of animal plant and aquatic life were prepared for selected subareas of the total area The field data acquisition phase includes determination of the type and density of commercial species present in the area The distribution and density of flora and fauna habitats and the ecological interacion of species were studied",15.5,0,23.93,38.31,97.96,8.09,2.34,6.07,45.00,42.28,59.43,46.82,5.29,0.45,35.67,5.56,28.17,41.80,54.36,6.91,2.63,4.36,77.89,31.83,18.01,1.61,0.39,1.58,5.36,1.89,5.16,15.66,13.11,8.30,6.58,6.96,4.40
"i Greening the State through afforestation allied activities like agroforestry and agrosilvi pasture i Consolidate and carry forward the movement of participatory management of natural resources in different agroclimatic regions of the State through economic upliftment of forest fringe population i Meet requirements of the community for fuel wood fodder small timber Non Timber Forest Produce NTFP and rural employment generation through forestry and related activities",15.2,0,22.00,39.47,99.27,2.54,4.59,28.23,24.94,9.04,36.55,12.55,0.45,2.92,98.89,94.12,65.81,7.04,90.22,83.27,2.92,3.93,93.34,40.47,94.78,0.64,1.27,1.03,8.87,1.59,4.17,50.17,96.58,49.11,16.29,7.09,4.16
"The construction activities of the project are included in the chapter of environmental protection in accordance with the requirements of the standard construction project contract and are supervised and implemented by an independent supervision unit The completion of the project has also been checked and accepted in accordance with the requirements and the acceptance report has been publicized and submitted to the Ecological Environment Bureau for the record",0,0,19.11,56.66,84.97,35.23,67.02,62.63,65.53,53.80,48.58,37.39,53.36,7.62,81.88,71.62,65.49,68.17,78.97,31.70,38.96,38.85,67.90,26.76,44.96,22.11,9.78,23.71,39.94,12.16,17.30,66.30,61.36,49.64,39.29,22.82,36.82
"53 In 2018 the Ministry of Finance issued the Guiding Opinions on Establishing EcoCompensation and LongTerm Protection Mechanism in the YREB which outlined four tasks for central government to 1 emphasize ecological protection in general fiscal transfers 2 increase national key ecological zone transfers to the YREB provinces 3 implement the aYREB Ecological Protection and Rewards Policya in 2018 which committed CNY 18 billion from 2017 to 2020 to incentivize the establishment of horizontal ecocompensation schemes in the YREB including intra provincial and interprovincial schemes and 4 increase various special funding in the YREB including for reforestation among others",15.1,0,29.84,65.45,96.01,3.66,19.87,31.44,1.69,8.05,3.80,7.31,4.25,2.94,96.31,94.08,71.95,82.80,90.62,23.35,20.16,6.69,91.41,95.87,99.71,9.58,1.84,2.46,13.25,22.64,5.97,34.58,40.46,51.86,30.93,16.11,3.55
"The mandate of the new Ministry is to coordinate environmental protection and natural resources conservation for sustainable development and specifically to Secure a quality of environment adequate for good health and well being Promote the sustainable use of natural resources Restore and maintain the ecosystem and ecological processes and preserve biodiversity Raise public awareness and promote understanding of linkages of environment and Cooperate with government bodies and other countries and international organisations on The organisational structure of FMEnv is shown in Figure 21 next page",15.1,0,23.10,20.90,98.11,0.45,0.34,1.50,0.20,0.22,93.96,1.99,0.08,0.08,81.93,31.11,13.65,7.02,99.20,1.20,2.18,1.77,75.85,11.00,3.01,0.63,0.13,0.15,0.18,0.10,0.28,6.68,15.62,24.82,5.43,0.33,0.60
"Chinas Environmental Assessment GuidelinesEcological Impacts clearly requires that environmental impact assessment documents pay attention to adverse ecological impacts and beneficial impacts direct indirect and cumulative impacts and mitigation measures are formulated in the order of avoidance mitigation compensation and reconstruction In addition starting from 2015 China has implemented the delineation of ecological protection red lines on a large scale By the end of 2020 all provinces and cities across the country have completed the delineation of ecological protection red lines within their jurisdictions to protect important habitats",15.1,15.5,23.84,80.48,97.57,8.08,21.74,20.95,76.03,18.73,58.14,58.37,4.12,1.83,90.80,57.83,54.24,70.20,97.35,24.27,52.32,28.99,98.50,56.94,56.14,75.68,1.41,3.80,18.44,19.65,10.13,52.31,44.34,76.76,44.21,9.33,18.40
"Purulia hosts a number of subgroups of tribes While Santhal Munda Oraon Bhumij dominate among them there is a strong presence of Savar and Lodhas who belong to Particularly Vulnerable Tribe class PVTC The first group normally owns land though small in size and thus depends on agriculture and agriculture related works Being particularly marginal farmers they cultivate their own land and also work as agricultural labourers in othersa land They concentrate in nonforest areas Savars and Lodhas are primarily found in forest dominated areas and their livelihood depends primarily on forest products",15.6,0,92.45,16.66,20.46,4.53,3.34,11.80,10.79,9.48,15.32,5.81,1.20,2.19,7.27,3.13,1.57,3.17,17.33,17.61,10.43,7.56,28.09,15.90,2.10,3.43,2.71,7.67,1.71,1.16,1.60,9.92,5.65,31.22,0.40,17.08,7.33
"a vi Information disclosure public participation and informed decisionmaking Public participation runs through the whole project lifecycle and is an important measure to ensure the success of LAR activities The Ministry of Natural Resources issued the Standard Guidelines for Grassroot Government Affairs Disclosure in Rural Collective Land Acquisition in June 2019 sorting out matters to be disclosed regulating the disclosure process and improving modes of disclosure to protect the peopleas rights of information participation expression and supervision practically",0,0,35.14,21.68,80.84,1.84,2.15,1.51,2.68,11.50,56.35,4.45,1.19,0.81,77.26,33.52,54.17,11.14,37.63,8.19,2.75,9.36,17.09,6.80,45.66,5.21,0.94,0.90,29.87,4.37,12.78,69.58,98.01,20.77,29.34,63.35,18.88
"3 National Policy on the Environment The stated goal of the National Policy on the Environment is to achieve sustainable development in Nigeria and in particular to Secure a quality of environment adequate for good health and well being Conserve and use the environment and natural resources for the benefit of present and future generations Restore maintain and enhance the ecosystems and ecological processes essential for the functioning of the biosphere to preserve biological diversity and the principle of optimum sustainable yield in the use of living natural resources and ecosystems Raise public awareness and promote",15.1,0,29.52,34.69,98.15,0.84,0.95,0.99,0.70,0.55,94.64,4.67,0.11,0.20,80.72,29.34,23.04,4.75,98.48,2.94,11.15,6.67,92.98,7.13,4.53,2.29,0.18,0.17,0.34,0.20,0.21,0.84,17.95,6.11,8.48,0.43,0.95
"Land acquisition and loss of access to natural resources are managed in a way that avoids or minimizes displacement and affected people are assisted in improving or at least restoring their livelihoods and living standards",0,0,13.29,12.06,99.38,2.70,0.28,0.55,12.52,2.09,2.61,1.35,0.27,0.09,55.79,1.31,29.42,34.48,73.15,7.02,1.21,2.82,43.27,1.00,5.52,1.71,0.78,0.33,0.50,1.02,6.20,16.38,88.86,7.68,1.63,0.09,4.75
"i Breaking up land for building or quarrying of stone are not permitted in protected forests Cutting sawing removal of trees from protected forests is prohibited",15.2,0,11.95,36.59,98.03,6.86,6.55,36.48,34.67,19.30,27.21,23.65,4.99,9.61,93.12,56.42,8.38,84.54,81.54,10.51,6.73,7.19,59.28,37.78,29.81,13.74,4.08,1.31,5.62,9.31,7.93,21.90,4.64,20.06,7.67,6.15,41.21
"Because the River Corrente i s a state river the company submitted its environmental license to the state environmental agency But because of the effects on a National Park and on endangered species the Ministerio Publicotogether with IBAMA launched a legal action against the state license This case was upheld and the environmental licensing was transferred to IBAMA which in 2001 deemed the enterprise",15.1,15.5,19.28,56.10,97.68,4.60,18.49,20.94,29.07,50.77,31.36,25.68,1.58,4.52,19.15,21.74,4.83,37.39,65.11,18.07,18.59,7.23,75.15,21.07,16.60,36.73,2.08,0.88,31.98,3.89,8.64,49.45,13.61,49.42,26.83,38.79,62.50
"5 Largescale changes in land use or access to land andor natural resources 6 Adverse ES impacts covering large geographical areas e",0,0,11.82,28.98,97.87,0.77,0.05,0.81,29.98,4.72,9.70,2.14,0.07,1.09,1.27,2.10,3.12,9.39,21.37,0.30,0.84,0.82,23.96,1.72,4.55,3.80,0.06,0.30,0.14,1.42,1.20,5.63,0.21,7.47,0.84,0.14,0.82
"Recognition of Forest Rights act residing in such forests for generations but whose rights could not be access to the schemes",15.6,0,11.24,5.04,93.90,0.58,1.34,1.75,0.92,1.22,4.16,2.39,1.54,0.24,63.67,17.96,1.59,58.62,46.35,3.42,0.84,1.21,32.45,2.40,15.40,1.54,0.53,0.09,0.91,2.55,4.28,7.36,2.60,7.87,2.96,0.66,3.68
"The Central Basin IPF focuses its ecological research activities and resulting management recommendations on Poyang Lake and Dongting Lake Basins key biodiversity hotspots and target areas under Results Area 2 Alignment of Program elements are further discussed in Section IV Total Program financing over 2022a2026 is expected to be US6526 million of which an expected US6126 million 93 87 percent will be funded by the Government and US400 million equivalent 6 13 percent financed through IBRD Table 1",15.1,0,23.65,45.27,97.79,6.94,27.26,25.89,14.81,20.81,33.55,46.36,21.82,3.52,86.09,52.83,39.11,20.84,91.63,43.14,20.93,16.30,86.65,73.61,71.49,13.33,0.97,1.96,28.34,9.67,7.37,38.87,45.21,45.73,15.66,8.30,7.26
"Also road connectivity through transport system is often poor particularly in forest areas",0,0,9.65,41.26,89.89,23.36,1.60,25.23,44.44,15.41,21.87,13.71,0.83,7.54,56.57,28.32,3.00,48.36,66.88,2.97,1.89,10.61,57.87,33.83,31.80,15.91,0.43,0.90,1.76,4.81,4.24,7.73,0.16,35.04,1.19,7.20,5.97
"The ESMF covers i screening of potential works for environmental risks and impacts ii carrying out a required environmental assessment to obtain regulatory authorization for each work as applicable and iii implementing necessary mitigation and monitoring measures It also includes institutional capacity training supervision monitoring and reports applicable to CONAGUA The Project activates OP 4 04 on Natural Habitats since there are two Protected Natural Areas ANPs in the area of influence of the Cutzamala System and some of its existing infrastructure and part of the Project works are in the ANPs",15.1,15.5,25.01,10.85,95.36,1.48,13.29,4.90,26.81,24.06,25.38,19.66,1.13,0.28,84.70,12.50,6.59,58.04,70.86,4.49,2.70,8.04,75.03,22.82,8.76,2.22,0.30,0.24,4.47,0.94,1.05,84.94,15.50,35.98,10.65,7.45,15.03
"permits judicious and regulated use of forest land for nonforestry purposes",15.2,0,257.03,32.80,96.20,12.44,8.07,14.93,19.66,4.67,12.70,11.90,30.95,3.09,79.47,58.17,6.52,58.07,82.34,5.49,3.49,6.13,68.32,12.33,4.62,10.16,1.29,0.96,0.51,15.60,11.08,18.80,7.99,26.68,26.21,0.70,31.55
"The Measures for the Administration of the Soil Environment of Agricultural Land Interim are promulgated",15.3,0,13.62,48.47,96.63,13.53,43.60,19.37,8.81,3.87,33.65,5.29,0.10,0.71,4.88,1.22,76.87,0.22,72.81,8.37,1.23,38.10,68.02,9.03,0.54,2.30,0.22,0.26,0.36,1.35,5.60,40.59,38.33,26.58,28.33,0.48,21.89
"Xianghualing independent industrial and mining area renovation and upgrading project in Linwu County of Chenzhou City the project includes the relocation of people to avoid danger ecological restoration and environmental management reservoir derisking and reinforcement Xiangjiang River Xiaoshui dry tributary management project in Yongzhou City soil and water conservation management of 78 small rivers in the city Nature reserve ecological restoration and protection projects Relocation of the residents in every county and district of Yongzhou City ecological restoration of nature reserves construction of ecological monitoring stations and",15.1,15.3,25.40,53.41,98.91,1.95,92.02,25.20,57.40,54.56,38.09,37.79,0.66,3.88,99.04,84.88,92.26,68.19,96.83,24.08,16.70,14.17,91.36,32.80,42.83,25.76,4.08,0.74,4.97,8.13,3.07,49.22,10.19,28.29,14.26,4.95,16.44
"During the EIA nature reserves and ecological protection red lines",0,0,9.16,32.75,87.04,2.79,12.56,16.40,11.50,1.18,39.84,6.56,0.10,0.64,91.79,80.32,17.77,66.59,97.80,4.58,71.46,29.80,59.13,9.52,36.65,53.94,0.39,0.16,0.06,1.98,2.31,3.19,0.13,1.02,5.80,0.12,2.26
"List for the Development of the Yangtze River Economic Belt of Jiangxi Province Measures for Watershed Ecological Compensation of Jiangxi Province Ecological Protection Red Lines of Jiangxi Province Regulations on the Implementation of the River Lake Chief System of Jiangxi Province etc",15.1,0,16.43,66.37,98.31,3.98,18.42,32.23,49.87,40.83,79.84,58.31,33.94,5.08,98.42,75.80,75.61,15.00,97.76,12.41,24.20,49.52,92.91,59.24,50.58,16.34,0.85,1.46,1.84,3.49,5.42,46.75,30.16,45.04,34.21,7.42,48.62
"Proactive protection conservation maintenance and rehabilitation of natural habitats are addressed in generic mitigations measures in Chapter 4 of the RETDP ESMF as well as ECoP 19 natural habitats Takes into account potential adverse effects on physical cultural property The RETDP ESMF requires screening of a proposed project for its effects on physicalcultural resourcessites",15.5,0,19.21,18.56,70.96,8.47,0.97,35.35,21.20,39.78,25.70,17.45,11.43,1.24,89.28,24.57,39.43,26.19,84.01,9.54,19.51,8.67,77.36,35.10,41.75,12.00,1.06,1.92,8.58,6.15,5.63,26.44,29.84,30.68,18.54,3.25,9.18
"d Research on avalue realization mechanismsa ecological incentives This comprises research for the development of innovative incentive mechanisms for ecosystem protection including on the economic value of ecosystem services in the Yangtze River Basin methods for integrating ecological data into statistical accounts definition and clarification of natural resources property rights and the design of incentive mechanisms for ecosystem and water quality protection such as ecocompensation water markets and pollution discharge fees",15.1,0,20.59,36.20,97.73,1.33,24.41,2.84,27.05,15.19,55.70,70.91,0.87,0.60,92.90,10.76,14.92,38.00,86.77,3.77,1.35,4.80,89.79,62.80,11.51,0.42,0.40,0.42,2.34,13.11,3.85,31.86,22.69,21.45,19.56,3.94,4.20
"This covers all 100 counties in Jiangxi including over 90 counties in the Poyang Lake Basin The RBECP is intended to support ecological protection water quality improvement forest protection and improvement and livelihoods Each county is evaluated against three sets of indicators annually a water quality b forest and ecological conservation and c water resource and water environment integrated management with funds allocated according to results An estimated CNY 14 billion US2 billion has been invested through the RBECP from 2016 to 2020 averaging around US400 million annually including approximately US1",15.1,15.2,24.64,42.27,98.25,0.15,3.26,0.45,2.47,1.69,44.54,10.33,0.98,0.30,95.53,93.69,3.25,13.74,87.03,0.97,0.73,0.70,88.15,38.52,93.08,0.14,0.07,0.47,0.75,0.29,0.51,27.08,30.67,12.78,7.75,0.51,2.01
"The EIA GuidelinesEcological Impacts specifically stipulates the technical details of identifying and screening important ecological factors including wild animals and plants important habitats and biodiversity in the early environmental assessment stage of the project and clearly requires that the environmental impact assessment documents pay attention to ecological impacts positive and negative direct indirect and cumulative impacts mitigation measures are formulated in the order of avoidance mitigation compensation and reconstruction Cultural Relics Protection Law establishes protection areas for valuable cultural resources Construction projects unrelated to the protection of cultural relics are not allowed in the protected areas",15.5,15.1,24.40,51.98,99.21,4.47,2.48,10.28,72.09,29.44,66.17,43.52,8.45,0.99,78.92,13.73,20.61,53.35,87.57,13.88,18.45,3.26,92.93,27.46,24.73,46.29,1.16,3.15,6.10,13.86,11.43,27.97,18.95,36.64,54.66,3.59,32.57
"2 West Bengal Trees Protection and According to the Act",15.2,15.b,9.05,29.13,67.73,0.89,0.59,17.96,10.39,2.46,9.87,5.21,0.34,0.25,73.44,93.11,8.67,21.31,78.55,9.85,7.41,1.06,16.47,15.16,62.93,35.58,0.62,0.09,0.24,0.30,1.74,9.11,28.79,2.72,58.79,2.36,10.93
"i Conservation and survey of flora fauna forests and wildlife i Prevention and control of pollution i Afforestation and regeneration of degraded areas i Protection of the environment These objectives are well supported by a set of legislative and regulatory measures and policies aimed at the preservation conservation and protection of the environment 1 Central Pollution Control Board CPCB CPCB is a statutory organization which was constituted under the Water Prevention and Control of Pollution Act 1974 and entrusted with powers and functions under Air Prevention and Control of Pollution Act 1981",15.1,15.5,24.03,44.90,75.41,1.73,27.08,22.12,17.82,4.45,11.36,10.45,1.63,0.74,84.91,96.57,67.95,5.97,98.56,1.61,23.71,3.18,87.77,23.40,60.08,2.64,0.35,1.45,4.00,4.20,5.60,64.75,73.45,30.54,88.35,4.24,62.56
"biodiversity in the Monarch Butterfly Biosphere Reserve which protects key overwintering sites for a billion monarch butterflies in 80 percent of the area of the subbasins Some of the Projectas brownfield works and activities will be carried out within the two referred ANPs and their vicinity The ESMF stipulates that these works and activities need to cover specific measures to avoid and mitigate risks and negative impacts in the ANPs including additional monitoring actions as pertinent and to comply with their existing management plans",15.5,0,23.71,25.80,97.06,4.91,88.94,20.63,33.13,34.16,16.58,4.77,0.71,1.18,48.08,27.81,29.27,69.65,86.46,24.39,14.34,7.54,83.57,38.90,42.13,8.37,0.47,0.64,6.90,10.06,3.30,55.37,10.83,34.13,16.54,6.60,8.79
"Populations of important fauna Area of wetlands and numbers integrity of wetlands re providing goods and services",15.1,0,10.38,21.97,96.43,2.28,0.44,6.74,28.92,29.74,34.26,14.95,56.33,1.00,59.57,3.09,0.87,3.63,59.36,1.93,1.81,1.97,67.66,34.85,6.56,3.77,0.37,0.19,0.47,3.30,7.19,8.02,15.48,10.19,10.08,0.75,3.96
"project involving nature reserve or protected cultural relic must be",0,0,9.13,15.81,98.74,2.62,0.70,4.19,26.51,2.93,10.38,2.26,26.90,0.24,46.73,14.90,10.70,38.36,82.11,1.89,3.58,8.31,80.12,12.36,8.96,10.24,0.15,0.06,0.06,0.27,2.18,1.44,12.47,3.20,10.78,0.14,1.03
"4 Core Principle 4 Program ES systems manage land acquisition and loss of access to natural resources in a way that avoids or minimizes displacement and assists affected people in improving or at the minimum restoring their livelihoods and living standards The six aspects under Element 9 are analyzed as follows 202",0,0,16.10,10.81,95.15,5.55,0.43,2.94,17.74,3.31,3.85,9.80,0.18,0.40,52.43,16.14,40.52,22.14,68.29,6.49,8.41,5.83,47.51,5.88,14.85,7.29,0.34,2.36,8.62,1.42,3.55,14.32,45.24,8.71,1.61,1.30,3.37
"The respondents belonged to forest covered blocks Baghmundi Bandwan and nonforest areas of blocks Jhalda II Manbajar II and Barabajar of Purulia district Our survey and indepth interviews were facilitated and arranged by two renowned NGOs namely Pradan and Bangla Natok dot Com BNDC They work with the women of several blocks on training of sustainable agriculture methods and making commercially sold utility items from several forest products Three characteristics of the study participants have been taken into consideration for inclusion in the sample These are age group marital status and locational characteristics",15.6,15.2,26.77,17.86,94.10,22.20,19.81,41.76,5.11,18.34,70.42,85.60,9.42,1.65,57.07,47.63,15.89,59.86,57.84,35.46,6.18,2.24,56.59,28.53,43.10,5.89,6.48,4.47,12.05,6.20,7.88,17.67,73.72,28.62,0.42,6.88,1.07
"1 Ministry of Environment Forest and Climate Change MoEFCC The Ministry of Environment Forest and Climate Change MoEFCC is the nodal agency in the administrative structure of the Central Government for the planning promotion coordination and overseeing the implementation of Indias environmental and forestry policies and programs The broad objectives of the Ministry are i Conservation of countrys natural resources including its lakes rivers etc",15.1,0,19.20,20.42,41.58,1.18,0.18,0.69,3.17,0.19,3.40,1.59,0.23,0.39,99.08,84.15,27.27,0.43,96.70,0.32,4.36,1.51,87.00,32.83,24.36,0.48,0.13,1.02,1.46,0.27,0.66,6.66,50.04,12.97,34.21,0.89,0.57
"required for verification along with publication of ecological flow monitoring bulletins",0,0,10.09,50.23,88.76,23.61,68.26,38.86,77.74,15.17,63.77,31.25,2.70,1.42,38.70,48.80,6.92,52.86,80.50,3.45,10.56,22.21,60.29,7.31,1.93,11.37,0.23,0.17,0.33,2.90,4.01,37.33,1.32,14.60,3.71,1.98,1.62
"produce and the duty leviable on timber and other forestproduce",0,0,10.22,65.11,99.33,19.22,3.29,11.07,39.65,44.30,42.14,24.31,1.19,10.43,39.20,49.74,3.33,63.85,66.18,14.01,2.81,6.74,62.12,36.15,64.06,24.30,1.93,1.56,2.47,17.78,10.57,18.20,3.45,16.97,41.17,3.64,17.87
"In actual implementation identifying important natural habitats important wildlife protection targets and statutory ecological protection red lines are one of the key tasks of each EIA All projects involving statutory protected areas have taken avoidance measures For other unavoidable ecological and environmental impacts it is necessary to formulate reduction mitigation or compensation measures",15.5,15.1,16.67,13.67,94.60,10.67,3.39,10.06,39.60,9.87,15.13,6.77,8.95,1.01,65.36,1.47,5.22,41.12,88.96,2.55,18.32,3.10,85.26,10.10,10.66,16.16,0.25,0.50,3.69,1.34,1.51,10.63,13.53,34.50,10.59,5.86,4.15
"The program interventions do not involve land acquisition and will not result in any loss of access to natural resources or involuntary resettlement Thus Core Principle 4 is not applicable",15.3,15.1,12.68,48.15,92.02,34.97,71.87,78.98,24.79,57.53,64.08,65.23,69.48,6.67,97.04,69.39,77.03,70.76,83.78,49.28,79.85,48.20,73.84,40.60,58.91,55.51,15.73,33.69,33.74,31.94,20.49,55.58,72.15,63.87,4.95,47.90,20.60
"the Forest Department and felling of any of the trees as mentioned in the schedule is not permitted without permission Every person who fells a tree should undertake plantation of two trees for one tree felled in same plot of the land",15.2,15.b,15.04,34.52,92.71,14.13,9.51,36.65,12.73,40.33,21.30,13.12,5.36,13.27,81.69,56.51,21.89,63.73,57.67,59.43,7.13,10.81,52.89,22.58,26.67,18.18,5.59,2.56,40.61,6.90,10.41,37.72,6.48,14.05,21.58,11.98,43.83
"In the Pilot Plan for Integrated Ecological Compensation 2019 one of the pilot tasks is to promote horizontal ecological compensation between upper and lower reaches and 50 pilot counties 5 in Jiangxi Province are selected among key ecological areas in 10 provinces to develop their own implementation plans",15.3,15.1,16.45,13.42,88.32,0.63,1.49,0.68,0.38,0.33,2.83,8.77,0.80,0.22,78.08,21.77,12.51,74.76,82.82,8.32,0.62,0.94,84.94,2.95,14.69,0.34,0.15,0.24,0.57,0.27,0.17,1.60,60.29,38.80,2.82,2.30,0.28
"See Element 1 for a consistency analysis of social impact assessment The consistency of Elements 2 and 5 is analyzed below i Early screening During site selection and feasibility study of related projects the relevant authorities e natural resources bureau cultural heritage bureau shall be coordinated to conduct a joint survey and risks and impacts screening",0,0,17.97,27.92,85.02,14.67,36.53,25.61,41.13,41.80,29.91,40.47,51.13,2.24,72.26,57.60,53.23,60.96,78.84,22.39,21.65,21.08,61.62,26.59,42.65,27.17,0.87,4.18,1.91,3.91,5.46,38.09,54.04,28.52,1.77,4.57,4.13
"Regulations on Nature Reserves A nature reserve shall be set up for an important habitat Nature reserves shall establish specialized",15.5,0,11.34,23.05,89.29,2.59,0.31,2.11,9.13,9.30,13.81,7.35,1.75,2.15,63.09,31.13,5.32,58.01,65.97,6.11,6.62,1.09,79.68,30.02,25.02,22.28,0.82,1.56,0.47,1.79,5.09,20.85,19.25,20.16,13.43,2.63,7.54
"This act recognizes and vests the forest rights and occupation in forest land Applicable to the GPs in tribal areas",15.2,15.6,11.34,5.44,94.29,0.32,0.60,0.64,0.76,5.76,6.43,3.61,1.78,0.11,48.00,30.64,1.94,44.61,51.82,19.44,1.51,1.36,57.31,6.88,19.75,4.97,2.32,0.72,1.66,2.04,3.55,18.35,28.57,35.70,25.74,0.23,9.90
"scheme beneficiaries located near forests to prevent such illegal activities",0,0,9.40,14.48,96.87,4.47,3.55,29.11,5.99,9.75,4.09,1.35,0.92,0.40,30.69,34.41,1.16,45.47,84.38,1.72,69.64,3.92,39.61,1.66,9.39,94.29,3.05,3.40,0.25,78.83,15.53,11.50,5.04,6.53,3.27,1.25,4.96
"provinces new domestic waste treatment capacity by 25650 tonsday by 2025",12.4,0,10.07,46.86,42.88,9.44,73.20,27.06,27.64,19.93,13.20,18.84,0.18,7.82,0.72,2.20,1.50,1.65,12.42,1.78,0.33,4.03,12.50,2.19,0.47,0.23,0.33,0.34,0.70,0.58,2.85,14.14,28.96,23.90,7.18,2.94,3.61
"Water quality and flow Water contamination due to materials and chemical",12.4,0,9.42,26.57,79.25,2.50,0.45,3.81,26.13,8.80,25.47,10.38,0.11,0.89,0.70,2.23,0.78,11.44,21.92,0.35,0.40,3.35,14.98,10.79,0.83,0.32,0.14,0.18,0.26,0.34,0.92,7.05,1.41,2.22,5.52,0.36,3.50
