text,target1,target2,exec_time,12.1,12.2,12.3,12.4,12.5,12.6,12.7,12.8,12.a,12.b,12.c,15.1,15.2,15.3,15.4,15.5,15.6,15.7,15.8,15.9,15.a,15.b,15.c,16.1,16.2,16.3,16.4,16.5,16.6,16.7,16.8,16.9,16.10,16.a
"The pollution reduction targets refer to i the number of demonstration counties that have established integrated wastewater service systems ii the weight tons of agricultural plastic film collected and iii the number of demonstration counties meeting their respective annual livestock poultry manure utilization rate targets proportion of utilized livestockpoultry waste The Program will be implemented on various levels to ensure supervision and crosssectoral and crosslevel coordination The Program Management Office PMOs under the Jiangxi and Hunan Provincial Development and Reform Commission PDRC will be responsible for overall Program guidance and management",12.5,0,25.00,42.92,56.85,0.70,97.48,86.16,5.78,1.70,14.03,54.81,0.29,1.40,2.19,1.32,2.72,5.04,6.10,9.30,0.32,0.58,14.21,1.94,0.99,0.28,0.07,0.38,7.69,0.19,0.26,79.75,88.14,28.69,9.47,2.37,6.68
"From the analysis of the relevant environmental policies laws and regulations applicable to the program please refer to Annexure I it can be concluded that that the existing policy legal and regulatory framework governing the management and mitigation of any environmental risk or adverse environment impact of the program are adequate and do not need any augmentation or change to support the implementation of the PforR",0,0,19.64,53.17,74.90,40.64,70.20,73.71,45.03,44.15,30.59,57.80,55.50,17.55,77.40,59.54,68.46,59.23,68.51,42.15,57.42,42.29,65.83,44.96,67.09,32.99,7.98,24.07,34.40,21.50,18.10,49.15,34.63,59.10,34.23,25.88,37.98
"be recovered by producers dealers and users Measures for the Administration of Agricultural Mulching Films Article 14",12.4,0,10.64,45.25,83.32,29.34,66.80,83.71,36.38,48.18,17.88,17.90,1.78,6.33,5.33,42.40,43.91,5.76,64.45,37.70,37.39,22.86,23.82,12.01,47.65,15.74,0.68,4.60,8.02,34.55,36.52,37.16,24.96,16.39,42.56,2.98,18.04
"The Regulations on Pesticide Administration raises specific requirements for the production registration marketing and",12.4,0,10.31,55.34,64.69,14.64,45.36,5.96,43.33,40.89,41.76,40.45,0.27,2.59,0.22,4.01,0.75,13.03,42.20,33.86,0.66,9.63,17.90,5.49,6.70,0.53,0.71,0.66,2.51,4.00,7.48,49.42,2.89,4.56,20.08,1.33,18.11
"into micro or nano particles of plastics92 In 2017 Ministry of Agriculture issued aAction Plan for Recycling Agricultural Mulcha setting target of recycling 80 percent of agricultural mulch by 2020 Jiangxi Province has been a pioneer in combating plastic pollution In June 2020 Jiangxi formulated an aImplementation Plan to Strengthen Plastic Pollution Managementa 93 The Implementation Plan set targets to ban the production sale and use of several types of plastic products in selected areas and industries such as singleuse plastics in the catering industry",12.5,12.4,25.79,79.97,90.10,5.99,95.24,95.38,11.72,17.59,41.98,52.03,0.77,9.44,3.53,5.85,7.56,25.27,52.00,8.07,4.68,5.83,43.88,4.89,9.60,3.91,2.07,2.83,19.92,6.56,3.51,48.93,54.04,71.09,14.83,24.39,48.43
"Provincial level policies regulations and guidelines on water environment and plastic waste management issued",12.4,0,10.06,36.28,97.94,0.62,86.34,69.82,24.45,8.87,58.20,15.35,0.32,0.53,14.82,1.21,4.47,3.31,68.46,0.53,0.41,20.72,47.47,10.29,0.65,0.13,0.17,0.18,0.43,0.33,1.62,22.45,4.22,5.50,10.90,0.31,27.79
"Activities at the site will produce construction wastes such as excavated soils and debris These collections of wastes could obstruct the movement of the workers the general public and trucks as well as affect the beauty of the environment This waste will therefore have to be managed at various times during the construction phase",12.4,0,16.97,53.23,95.18,16.81,82.35,36.63,44.69,30.59,28.27,24.07,1.15,4.19,4.79,8.30,12.44,61.35,13.46,6.45,1.97,4.16,59.37,21.66,11.83,2.95,2.82,5.15,14.58,3.29,7.95,34.73,6.63,40.10,19.20,14.89,16.99
"In Dexing County each soil fertilizer station or plant protection station has a workforce of 56 and trains farmers over 20 times a year and the county farmer school has 10 technicians and trains farmers over 10 times a year Based on the field visits all county agriculture authorities in Jiangxi Province can direct farmers to use fertilizers rationally and reduce waste and nonpoint source pollution",12.5,12.4,19.81,79.11,95.62,46.65,99.50,92.90,34.99,84.24,89.36,96.78,5.69,10.58,57.33,36.40,61.40,68.23,76.65,59.30,11.38,17.85,79.22,57.62,25.10,5.20,2.41,10.90,41.82,7.36,26.31,90.40,86.00,58.95,21.50,26.66,65.63
"26 Regulations on Pesticide Administration 2017 8 Measures for the Administration of the Soil",12.5,12.4,10.36,59.03,93.80,20.09,75.45,29.94,37.59,39.64,44.02,46.54,0.78,16.38,4.38,7.21,38.22,34.43,62.15,20.23,1.92,22.31,60.80,20.68,18.77,1.05,1.12,1.02,3.59,2.78,7.52,49.17,29.66,31.35,33.95,2.09,43.22
"plastic collection and recycling services Plastic film is a major contributor to waterborne plastics pollution",12.5,12.4,10.51,58.37,61.70,0.77,84.94,81.54,31.36,22.43,31.36,26.44,0.58,1.17,0.56,1.18,1.51,3.64,27.03,0.64,0.72,2.99,9.41,9.71,0.91,0.38,0.30,0.42,0.77,0.39,1.63,30.34,10.65,3.55,2.83,1.32,4.57
"Notably Poyang and Dongting Lakes have experienced instances of eutrophication More broadly nutrient pollution may contribute to downstream and offshore eutrophication in the East China Sea A recent study calculated the present value of the global social cost of eutrophicationdriven methane emissions from lakes at an annual amount of US0 aProtecting Local Water Quality Has Global Benefits a Nature Communications 12 2709 link 134 Rosentreter et al Half of global methane emissions come from highly variable aquatic ecosystem sources Nature Geoscience 14 22530 link",12.4,0,26.33,28.27,98.63,6.10,43.91,32.07,24.19,38.74,67.01,30.28,1.12,1.25,19.40,3.10,5.83,0.82,72.35,5.95,2.00,3.71,72.63,24.87,3.08,1.55,0.77,1.26,2.83,2.00,1.68,40.49,23.17,7.02,8.40,3.66,24.23
"Agricultural waste recycling in Changde City Crop and livestock manure",12.5,0,10.04,51.21,93.80,26.72,94.27,91.38,30.09,33.87,27.38,56.53,0.25,0.70,0.24,0.88,1.63,11.10,46.94,3.15,0.21,2.13,23.21,13.78,4.56,0.05,0.14,0.06,0.35,0.50,1.53,13.36,30.43,14.54,13.28,1.16,5.63
"The recycling rate of agricultural mulch is lower than two thirds 91 Possible technical solutions include recycling plastic film or using biodegradable cover which impose additional costs and hence require regulatory and potentially financial incentives to increase adoption rates with the assumption that materials used will not degrade 90 According to Prof Yan Rongchang from the Academy of Agricultural Sciences link Notice of the Ministry of Agriculture on Issuing the Agricultural Film Recycling Action Plan",12.5,12.a,22.20,81.96,98.04,32.23,90.34,93.90,36.07,80.66,40.98,75.76,1.48,15.88,12.00,5.41,45.46,42.38,38.83,14.21,2.53,7.56,44.65,33.17,23.11,4.37,2.00,2.30,24.53,8.49,4.38,73.08,9.49,51.07,22.31,31.35,63.97
"Removing existing road surfaces will release particulate matters Air Quality will also be impacted by emissions from vehicles and from heavy earthmoving equipment At the peak of construction various equipment rated between 200 600 horsepower and burning diesel fuel would be operated The USEPA AP42 Emission Factors for diesel industrial engines was used to estimate emission from construction equipment The estimated emissions from equipments are shown in Table 6",0,0,20.91,51.47,43.11,4.11,1.17,15.77,51.07,46.24,52.14,35.46,1.40,9.56,1.22,4.39,7.51,6.86,10.79,7.63,2.20,2.11,20.29,11.22,13.03,2.17,1.00,2.09,16.03,5.35,4.14,26.41,17.73,29.55,5.04,27.33,21.78
"20 Finally part of the government growthprogram aims to improve theprocedures leading to environmental licensing of business activities Apart from reducing redtape it i s expected that better procedures will also leadto a better reflection of environmental costs inthe licenses granted b y publicsector entities Since the poor often suffer the most serious consequences of environmental degradation e through exposure to polluted water sources any improvement inthe effectiveness of Brazilian environmental licensing can be expected to",12.7,12.6,22.52,55.83,96.08,0.31,77.55,9.74,69.38,78.77,7.96,3.96,0.60,0.71,38.02,2.05,3.10,0.85,59.10,1.58,0.80,1.95,18.67,2.37,1.80,0.31,0.10,0.13,3.24,0.25,0.44,90.52,13.46,27.80,20.53,5.51,3.70
"a Environmental and health cobenefits associated with reduced local pollution",12.4,0,9.91,24.56,58.70,0.19,81.77,9.26,25.93,23.18,44.21,3.75,2.25,0.24,9.97,11.70,1.15,29.32,26.06,0.35,0.33,2.21,43.26,3.10,6.29,0.11,0.06,0.05,0.09,0.06,0.18,2.25,17.36,4.03,1.29,0.17,1.45
"These funds were sourced primarily from four programs The CNY 14 billion funding on water pollution reduction plastic waste treatment or chemical fertilizer reduction in the Dongting Lake Basin was from primarily four programs listed below Table 6 In terms of funding source by department DARA",12.4,12.5,15.98,56.69,96.30,1.52,91.17,79.90,38.02,27.73,37.11,45.37,1.44,1.05,51.05,2.83,8.83,43.48,73.72,5.79,1.20,4.04,55.58,55.01,8.73,0.26,0.19,0.73,9.69,1.46,2.06,41.33,38.45,41.11,28.34,4.77,14.16
"Operate within an adequate For the potential environmental impacts involved in the Program Consistent",0,0,10.30,41.42,92.35,24.07,81.63,63.95,29.02,28.62,7.59,29.32,24.82,4.71,73.48,40.75,50.63,52.47,67.92,5.38,51.22,51.95,32.42,4.35,41.53,41.57,1.26,6.06,0.56,5.75,2.79,7.05,13.23,26.44,13.50,1.63,2.16
"The objective of KIAT is to promote industrial technology innovation and support the development of related policies Since the decision is yet to be finalized BREB is not aware of the type of battery to be used and thus cannot make specific comments on adequacy of existing recycling facilities and licensing The economic analysis finds that the Program investments will bring substantial economic benefits to Bangladeshas economy by helping displace expensive dieselbased selfgeneration and fossil fuel generation meet growing demand and improve the efficiency and reliability of the power system",12.a,12.2,24.90,49.02,32.67,0.12,12.11,6.79,1.98,5.73,4.00,44.51,0.18,3.45,0.85,0.71,0.57,0.24,0.67,0.54,0.38,0.63,0.61,0.24,0.30,0.43,0.09,0.27,2.70,0.21,0.30,3.97,13.59,7.86,9.06,1.14,1.33
"management and reuse of onfarm manure leads to reduced nutrient runoff f there are no major external changes to pollutant loads that overwhelm the Programas contribution to key pollution reduction targets and g improved RCS information platforms inform river chief actions",12.4,0,15.41,24.65,55.88,4.62,98.41,85.43,24.16,11.03,48.48,11.05,0.30,0.35,1.52,0.49,1.19,37.72,5.77,2.20,0.31,0.45,14.91,3.52,0.83,0.27,0.17,0.64,1.29,0.35,1.30,52.93,32.68,35.07,4.42,7.46,1.36
"The Program activities involving routine operation and pollution management are mainly county and township WWTPs livestock and poultry manure recycling facilities and agricultural film recovery Normal monitoring and supervision practice is as follows i County and township WWTPs are managed by local housing and urbanrural development bureaus urban management bureaus in some cities or counties and their pollutant discharge is monitored regularly or in real time and supervised by local ecology and environment bureaus regularly",12.4,0,23.04,26.22,93.34,8.50,98.48,92.94,33.06,32.93,25.05,36.58,1.04,1.01,3.15,4.07,14.10,41.42,56.62,20.02,0.52,2.84,53.84,14.66,1.74,0.54,0.59,1.67,7.25,2.25,3.11,48.66,30.47,23.00,13.88,20.39,6.91
"The Hunan Provincial Agriculture and Rural Affairs Department is the provincial authority for agriculture and rural affairs composed of 23 divisions offices and over 29 subordinate units in which those involved in agricultural film recovery and livestock and poultry manure recycling are i Agricultural Resources Protection and Utilization Division responsible for the environmental protection and management of farmland biological resources and farm products conducting agricultural EIAs constructing agricultural pollution prevention and treatment demonstration areas conducting agricultural waste recycling and agricultural film recovery etc",12.4,12.5,22.87,63.12,98.12,13.09,97.69,98.45,39.48,55.48,66.18,85.46,2.11,3.70,75.13,35.95,43.91,19.24,75.52,72.50,3.14,16.80,88.42,72.93,6.32,1.62,1.96,5.00,21.65,4.71,6.72,72.82,43.75,52.03,39.83,22.15,55.57
"2 Proper disposal of agricultural mulch film in managed landfill is expected for an additional 14136 tons of plastics over five years due to Program activities",12.4,0,12.35,57.41,80.66,9.12,85.74,78.06,39.00,23.41,10.68,20.30,0.29,2.70,8.92,1.90,8.52,18.71,26.64,1.75,0.28,2.86,17.84,6.26,7.87,0.17,0.26,0.26,1.18,0.68,2.42,28.98,9.66,16.88,13.11,1.81,4.29
"To strengthen the monitoring and evaluation of agricultural mulch membrane collection the Program will support development of a Provincial monitoring and evaluation protocol for agricultural mulch membrane collection and recycling in Jiangxi as well as support the implementation of the Provincial Implementation Plan for Strengthening Plastic Pollution Management in Hunan Analytics by the Bank and Tsinghua University are informing measures and baselines for agricultural plastics interventions and further developing the Bankas and Governmentas understanding of other pollutant issues targeted by the Program Box 3",12.4,12.5,24.54,68.16,86.42,13.11,93.03,90.62,14.66,17.63,50.30,80.77,0.92,0.65,4.30,2.01,9.41,10.96,21.80,1.98,1.81,3.77,25.75,11.30,9.20,1.50,0.37,0.79,21.41,1.59,2.45,66.75,46.36,67.73,14.07,13.28,12.38
"11 Environment negative list refers to a list of prohibited or restricted activities in terms of spatial layout pollutant discharge environmental risk and resource utilization",12.4,12.2,11.99,39.56,91.85,0.80,12.65,4.50,14.42,2.40,38.94,12.83,0.04,5.76,0.53,0.27,0.89,11.64,32.50,0.43,4.24,2.22,7.99,1.42,5.74,2.53,0.11,0.19,0.05,1.28,1.80,8.78,0.05,2.41,0.91,0.08,3.36
"DLI 33 Demonstration counties meeting annual targets for manure utilization is defined by the ratio of the utilized animal wastes tons used for organic fertilizer biomass energy and so on to the generated amount tons For Jiangxi the minimum annual target for all demonstration counties is to maintain at above 90 percent Achievement is expected according to the timeline in Table 23",12.5,0,18.91,85.93,86.45,7.99,87.68,53.60,65.98,50.77,41.71,57.00,2.92,27.65,33.80,6.37,47.95,50.28,35.53,29.21,4.47,7.14,45.91,21.37,10.16,9.86,1.23,3.34,16.30,13.48,11.32,72.30,43.51,68.68,7.67,14.27,24.68
"Chemical fertilizers are not toxic or hazardous chemicals themselves and the main problem is that overuse will lead to soil degradation and agricultural nonpoint source pollution The main laws and regulations on fertilizer management are i Agriculture Law 2012 Amendment A registration or permit system shall be practiced for fertilizer production and operation Chemical fertilizers pesticides and agricultural films shall be used rationally and organic fertilizers used more extensively to prevent farmland pollution and destruction and fertility decline",12.4,0,22.68,72.91,92.49,26.82,77.89,17.83,26.58,80.31,61.65,39.43,4.03,0.78,4.55,3.32,17.92,20.24,23.58,56.45,6.07,3.21,40.94,21.75,5.36,4.65,3.64,8.21,12.81,9.55,9.15,58.31,13.91,49.94,58.92,27.46,60.22
"It will also support the development and approval of subbasin or provinciallevel instruments to reduce pollution including solid waste management plans and phosphorus management guidelines Results Area 3 supports activities that reduce pollutants entering waterways and complements other Program components Activities at demonstration county level include point source pollution control through improvements in access and operations of township domestic wastewater collection and treatment services along with NPSs of pollution through improved management of plastic waste and increased utilization and management of animal manure",12.4,12.5,23.23,33.14,88.89,4.76,98.84,89.86,7.79,7.99,21.55,34.98,1.76,1.18,40.84,1.97,5.95,16.29,38.72,2.38,1.05,5.03,46.44,13.64,2.45,1.06,0.41,1.81,4.86,0.66,1.60,59.83,63.18,13.80,6.33,9.33,4.93
"3 Activities are selected to ensure consistency across alevelsa of the Program policies and guidelines developed at provincial level address the same goals as the selected county onground activities 4 Activities contribute to global public goods such as the collection and disposal of agricultural plastics waste to prevent riverborn plastic pollution and high priority local public goods e reductions in nonpoint source agricultural pollution that have been identified by the government and the Bank teamas technical assessment as most likely to have substantial benefits",12.4,0,23.59,47.12,87.73,13.44,88.22,86.48,2.41,9.08,7.42,21.08,0.94,1.07,24.48,10.51,10.17,6.15,18.15,10.99,2.71,2.46,34.51,10.37,9.60,2.26,1.09,2.30,10.73,3.15,2.36,17.79,23.76,53.80,4.50,4.97,20.18
"2 NIMBY NotInMyBackYard means that people or units concern about the potential negative impacts to their health quality of living environment or assets value due to site selection of a particular construction project e landfill of solid waste WWTP and therefore resent to the project or the proposal of the project",12.4,0,18.11,24.98,81.87,1.74,0.91,1.02,0.86,2.02,1.54,1.88,0.07,0.47,1.22,0.19,1.18,2.98,1.67,0.35,0.43,1.47,4.75,0.24,1.21,1.51,0.16,0.29,0.20,0.91,1.36,4.06,0.07,26.79,3.29,1.42,1.16
"Verification Confirmation of integrated wastewater systems is based on a countylevel integrated wastewater management strategies are publicly disclosed at county government websites b valid contracts of integrated county wastewater collection and treatment c verification of COD concentrations according to environment bureau realtime monitoring data records 2 plastic waste agricultural plastic film prevented from entering water bodies is defined by the quantity of agricultural plastic film recovered through plastic collection Plastic film is a major contributor to waterborne plastics pollution",12.4,0,23.00,39.94,87.47,5.34,97.69,93.57,50.13,65.43,42.46,20.74,1.20,1.89,13.49,6.14,5.76,31.69,39.62,4.02,1.77,4.94,24.23,18.64,3.02,1.54,0.58,2.06,4.24,1.70,3.24,82.69,8.03,4.74,21.90,31.48,6.88
"Pollutant gases such as CO NO2 SO2 CH4 H2S and NH3 were documented at levels ranging from not detected to 5ppm Apart from CO no other gas was detected at levels above 0 Consistently all the gases associated with combustion of fossil fuels were recorded at higher levels in Apapa LGA than any of the other locations On the contrary H2S a gas typically associated with decomposition of sulfidic materials and very common in swampy terrains was recorded only at 5 of the 9 locations sampled",0,0,26.41,37.77,85.13,17.13,8.02,30.10,40.73,31.09,52.61,35.43,2.24,20.82,6.12,11.34,17.08,43.85,47.68,12.29,5.69,6.78,47.89,29.27,24.37,13.14,3.08,7.32,10.23,10.73,10.23,17.28,3.80,38.54,6.53,15.81,16.56
"Observation and discussions during these visits provided a good understanding of the potential ES impacts associated with the Programas activities and procedures and capacity of government departments for dealing with such impacts including measures adopted under relevant laws and regulations The ESSA considers the ES risk associated with the PforR Program to be substantial The Program will have significant and broadly positive ES effects in the Program regions including reduced wastewater plastic waste and agricultural pollution improved river and lake water quality and ecological environment rehabilitation",12.4,12.5,23.53,51.44,92.47,15.39,90.94,79.12,19.37,31.41,37.96,25.23,35.03,5.99,76.29,69.36,38.90,54.31,81.01,49.94,24.70,24.63,61.97,30.46,41.35,25.85,1.18,31.82,16.86,12.04,14.93,26.34,53.19,50.96,20.34,8.86,26.61
"Attached Figure 12 December 21 2020 visit to a waste recovery and disposal enterprise in Wangcheng District Changsha Hunan",12.4,0,11.82,42.13,39.49,20.16,82.58,80.76,48.89,41.79,37.93,43.83,0.36,9.73,1.28,2.79,26.14,13.11,35.49,5.31,0.97,31.84,41.31,9.92,15.24,1.14,1.27,3.31,2.23,15.07,34.01,55.07,58.50,34.58,16.53,8.97,21.96
"The 14th FiveYear Period calls for a further increasing the resource utilization rate to 85 percent b establishing a system of animal waste treatment processing and returning to the field as fertilizer and c attracting private financing through innovative modes including publicprivate partnership and other mechanisms The countylevel utilization ratio will be measured on farm sites as a subDLI DLI 3 3 with the aim of gradually increasing the level of animal manure utilization in selected counties and maintaining the level of utilization where it is already high no less than 80 percent",12.5,0,25.67,67.37,98.34,12.63,95.99,88.76,30.92,83.66,28.91,60.27,1.30,9.94,18.28,2.34,48.15,34.16,28.29,13.46,0.76,2.56,14.63,28.19,9.34,1.64,0.23,0.70,4.24,8.17,4.70,27.18,67.53,40.12,7.54,22.37,2.80
"Soils Contamination from waste materials e cement and paints engine oil etc Erosion and flooding from",12.4,0,11.16,17.75,83.38,1.95,0.28,5.83,23.84,8.04,7.87,8.70,0.03,8.22,0.23,2.51,21.61,17.45,17.89,0.30,0.16,4.54,20.86,6.95,2.06,0.23,0.09,0.10,0.29,0.60,2.34,1.64,0.09,2.81,0.99,0.55,1.96
"Procurement for readily available offtheshelf goods that cannot be grouped or standard specification commodities for individual contracts o f less than US50000 equivalent may be procured under shopping procedures as detailed in paragraph 3 5 o f the Guidelines Procurement under IBRD Loans and IDA Credits May 2004 and the Guidance on Shopping Memorandum issuedby IDA June 92000 0 During the first eighteen months o f Project implementation o f the US5 89 million worth o f estimated Goods procurement packages US5",0,0,26.03,66.82,16.45,28.60,20.47,54.22,24.44,55.84,30.02,49.58,30.21,11.05,21.18,14.75,41.51,20.09,27.57,25.17,18.70,29.23,20.37,25.73,35.75,23.99,4.89,8.65,22.61,21.61,23.34,41.31,44.50,48.52,12.56,19.61,24.75
"continued A number of food waste treatment facilities have been built all over standardized construction of manure",12.3,0,10.78,72.95,85.69,17.43,84.56,50.36,35.92,19.76,27.79,49.27,0.49,3.88,0.42,0.76,5.64,11.03,22.11,5.11,0.55,3.94,25.67,7.14,1.52,0.38,0.49,0.43,1.43,1.05,9.09,38.05,19.14,28.24,15.45,2.52,5.31
"These will complement the other 2 transfer stations being constructed under the design build operate and transfer DBOT contract see below 0 million Upgrading of One Landfill There are presently three landfills being used by Lagos Two o f these three sites will be upgraded in a manner that enables recycling o f materials by both the formal and informal sectors many low income people depend on the incomes they currently derive from the recycling o f materials under difficult and dangerous working conditions",12.4,12.5,23.49,54.40,63.64,2.09,61.36,87.61,24.05,57.97,15.78,10.75,2.76,0.88,2.52,1.55,4.21,1.02,7.56,12.86,1.00,2.02,13.72,7.57,1.51,1.31,3.68,3.05,10.98,5.26,6.44,28.77,16.84,41.45,7.56,27.43,5.28
"The CTF supported elements of the Program would be expected to reduce emissions by 41 63 MtCO2eq over the lifetime of the investments These estimated savings emission reductions are based on 10 MW40 MWh of battery energy storage systems located within the BREB distribution network that enables 50 MW of rooftop solar generation In this project case solar generation exceeding the storage capacity of the batteries is assumed to integrate directly into the grid where it displaces gas generation",12.2,0,22.87,58.97,63.25,1.17,10.68,12.49,33.40,65.37,39.00,65.80,1.09,7.14,13.32,6.52,19.17,5.52,4.15,17.79,1.39,2.01,5.89,8.73,1.86,2.11,0.33,2.73,10.43,1.82,4.28,33.83,52.62,20.96,13.15,8.48,8.00
"Verification will be based on largescale farms in demonstration counties which are defined as below A farm with a 500 heads of pigs annual production a 2000 egg chickens a 10000 meat chickens a 50 meat cattle and a 100 dairy cattle During implementation each year 10 samples out of all the largescale animal farms will be randomly selected and verified if they have completed their annual targets according to the MARA reporting system if possible pig chicken and cattle farms must be included Data source Animal waste production treatment and resource utilization data can be acquired from the",12.5,0,26.35,70.99,90.97,39.03,87.97,77.74,85.77,70.82,61.69,65.86,20.51,55.82,26.70,15.78,38.87,42.46,59.66,72.04,24.92,19.96,65.24,43.09,20.66,10.96,7.30,8.86,43.11,22.57,20.46,66.32,57.81,77.03,6.03,65.69,63.23
"classification construction projects kitchen waste disposal and waste recycling City continued comprehensive",12.3,12.4,9.96,44.46,46.60,4.60,84.03,86.10,57.35,25.52,74.82,66.80,0.16,1.56,0.26,0.98,0.71,0.25,15.01,2.66,0.22,0.54,5.51,0.95,0.48,0.07,0.25,0.07,0.44,0.20,0.65,19.94,32.56,2.04,20.22,2.81,5.40
"waste and living pollution the recycling of livestock and poultry manure in rural WWTPs township WWTPs and",12.5,0,11.05,43.49,88.33,11.85,93.46,73.35,36.82,24.78,20.14,19.30,0.38,2.22,0.24,1.69,7.91,30.64,53.75,4.27,0.48,5.55,34.03,6.38,2.25,0.13,0.19,0.18,0.43,0.54,1.61,14.05,3.89,38.22,10.88,0.72,5.85
"Such WWTPs will typically reduce the discharge of pollutants such as COD by 7095 NH3N by 8097 total phosphorus TP by 5090 and total nitrogen TN by 7090 respectively3 The cumulative benefits of such pollution reduction of all WWTPs would be significant in the geographical scale of two provinces i Pollution reduction due to livestock waste treatment and utilization Treatment and utilization of livestock waste will significantly reduce pollution discharge from such farms",12.4,12.5,22.19,63.83,95.34,20.52,98.65,91.83,60.49,74.85,54.13,60.60,28.84,14.67,46.07,23.13,51.60,55.04,57.47,44.08,7.14,11.57,72.29,42.99,29.13,15.83,3.20,13.11,36.43,7.94,7.15,47.86,60.12,58.54,31.43,35.41,38.26
"Poyang and Dongting Lakes are Chinaas largest freshwater lakes and important biodiversity hotspots providing habitat for an array of international migratory bird species and local endangered species74 while also facing continued water pollution ecological damage and climaterelated threats from runoff extremes flooding and extended periods of reduced flow c Investigation and tracing of water pollution sources This comprises research inputs for policies and guidelines for persistent pollutants focused on phosphorus",12.4,0,19.19,19.26,90.90,0.72,20.35,1.61,2.77,1.56,43.76,14.98,0.25,0.12,2.11,0.43,0.47,0.92,13.73,0.40,0.20,0.41,58.04,9.38,0.41,0.10,0.20,0.20,1.24,0.33,0.36,12.03,11.97,3.91,3.05,1.99,4.76
"cost and would be robust and resilient in the face of potential future changes b evaluate the incentives in place for program stakeholders to effectively contribute to the programas success c make recommendations to improve the plan including through incorporation of alternative technologies that might lead to more sustainable and efficient outputs",12.a,0,15.00,52.50,57.22,25.02,56.88,58.84,1.71,32.28,0.41,43.34,53.21,11.47,78.00,41.87,43.39,42.55,61.13,24.24,69.63,42.06,8.14,6.32,52.22,34.68,5.94,11.72,9.20,16.76,11.53,15.04,21.35,30.34,1.81,16.58,0.97
"Procurement specialist Financial management specialist Operations specialist Environmental specialist Social specialist ME specialist Integrated water environment expert Solid waste management expert Big data and AI expert Note AI Artificial Intelligence",0,0,12.07,59.98,98.29,6.90,97.51,96.56,61.24,64.65,78.85,80.06,0.44,3.08,71.92,33.19,45.63,18.99,69.85,2.87,5.30,37.54,62.84,27.13,20.45,7.20,1.22,1.25,1.14,13.52,13.43,40.78,15.89,52.68,4.24,21.08,3.69
"Promotes use of recognized good practice in the production management storage transport disposal of hazardous materials generated through Program construction or operations Improper storage and handling of fuels lubricants chemicals and hazardous goodsmaterials onsite and potential spills from these goods may harm the environment or health of construction workers There is possible polychlorinated biphenyl PCB contamination from dismantling of old transformers with PCB",12.4,12.7,18.65,49.35,7.79,0.28,95.28,54.97,24.27,19.90,11.64,12.87,0.19,0.39,0.64,0.35,0.53,0.54,1.62,0.63,0.35,1.13,1.09,0.39,0.47,0.18,0.20,0.19,0.75,0.40,0.88,22.99,9.74,3.32,4.27,0.53,9.06
"Since social cultural political and economic conditions vary and institutions are contextspecific reform strategies must vary with the context The design o f empowerment strategies inthe social mobilization process for the LMDGP will therefore focus on four key elements in order to change the nature o f relationships and linkages of poor people and their organizations These four elements are Access to Information Information i s power Informed citizens are better equipped to take advantage o f opportunity access services exercise their rights and hold state and nonstate actors accountable",16.10,16.7,22.25,14.02,0.75,3.06,0.45,0.60,1.19,3.18,45.37,0.35,0.43,0.60,0.44,5.08,6.05,0.53,1.97,1.18,13.25,6.22,0.73,0.40,2.88,12.82,0.65,11.70,5.44,6.98,12.78,34.22,1.15,29.10,1.27,33.53,1.69
"Prohibiting and redressing any command against rules forced operation at risk or violation of the operating procedures",16.6,0,9.80,44.50,40.59,22.85,29.19,31.30,8.59,38.82,2.82,10.24,4.33,2.22,8.84,4.45,15.43,47.83,55.79,4.10,31.30,35.00,13.49,4.71,8.27,30.59,6.68,12.85,9.43,27.89,37.35,50.26,0.31,27.98,10.84,5.81,29.89
